distance,Right_lat_irreg,right vert irreg,left lat irreg,left vert irreg
48.56198,-0.000463832,-0.000277046,0.000114972,0.000569477
48.74251,-0.00042595,-0.000367364,0.000162443,0.00077859
48.92305,-0.000388059,-0.000464995,0.00022141,0.000969989
49.10358,-0.000353453,-0.000567939,0.000288655,0.00113726
49.2841,-0.000324827,-0.000674441,0.000358169,0.001276056
49.46463,-0.000304978,-0.000782654,0.000423515,0.001381929
49.64515,-0.000294759,-0.0008916,0.00047748,0.001453729
49.82567,-0.000292,-0.001001661,0.000511878,0.001495513
50.0062,-0.000294144,-0.001113356,0.000518025,0.001512066
50.18673,-0.000298154,-0.001227163,0.000488391,0.001508797
50.36725,-0.00029967,-0.001343322,0.000421015,0.001492487
50.54778,-0.00029382,-0.001462026,0.000315257,0.001470582
50.72829,-0.000275746,-0.001583293,0.000171126,0.00145053
50.90881,-0.000243162,-0.001705301,-5.09E-06,0.001435771
51.08931,-0.000195304,-0.001825072,-0.000203048,0.001427346
51.26981,-0.000131469,-0.001939447,-0.000411746,0.001426248
51.45029,-5.33E-05,-0.002044854,-0.000619605,0.001430657
51.63076,3.42E-05,-0.002137208,-0.000814479,0.001434737
51.81122,0.00012549,-0.0022122,-0.000983562,0.001432041
51.99167,0.000214929,-0.002266232,-0.001115828,0.001416213
52.17211,0.000296733,-0.002298595,-0.001207969,0.00138206
52.35255,0.000364902,-0.002309206,-0.001258302,0.001324441
52.53299,0.000413604,-0.002298353,-0.00126595,0.001238588
52.71343,0.000440977,-0.002269425,-0.001237591,0.001125122
52.89388,0.000447357,-0.002227653,-0.001184376,0.000987747
53.07434,0.000433226,-0.002178564,-0.00111812,0.000830493
53.25481,0.000401697,-0.002127387,-0.001050948,0.000659873
53.43529,0.000359307,-0.002078872,-0.000995198,0.000485568
53.61577,0.000313159,-0.002037958,-0.000963792,0.000317939
53.79626,0.000270415,-0.002008298,-0.000967433,0.000166767
53.97675,0.000237615,-0.001988981,-0.001008574,3.90E-05
54.15723,0.000221427,-0.001978127,-0.001088061,-5.89E-05
54.3377,0.000228292,-0.001973448,-0.001205847,-0.000120702
54.51815,0.000260465,-0.001970068,-0.00135449,-0.000146203
54.6986,0.000318056,-0.001961646,-0.001522483,-0.000138259
54.87903,0.000401056,-0.001941599,-0.00169771,-1.00E-04
55.05945,0.000507064,-0.001905292,-0.001867886,-3.67E-05
55.23987,0.000630759,-0.001850528,-0.002020624,4.38E-05
55.42028,0.000766384,-0.001775185,-0.002142984,0.000133018
55.6007,0.000908101,-0.001678938,-0.002224019,0.000223126
55.78113,0.00105036,-0.00156685,-0.002259666,0.000308574
55.96157,0.00118744,-0.001445196,-0.002247032,0.000384051
56.14204,0.001313704,-0.00132054,-0.002183921,0.000444521
56.32252,0.0014259,-0.001199552,-0.002073991,0.000488665
56.50302,0.001521864,-0.001089116,-0.001923833,0.000516933
56.68354,0.001599401,-0.000996243,-0.001740406,0.000529854
56.86405,0.001657374,-0.000923352,-0.001531016,0.000528733
57.04456,0.001695878,-0.000867553,-0.001303311,0.000515747
57.22507,0.001715102,-0.000825527,-0.0010653,0.000493226
57.40556,0.001715281,-0.000791675,-0.000823884,0.000463135
57.58602,0.001696713,-0.000754559,-0.000582439,0.000426292
57.76645,0.00165974,-0.000701341,-0.000343876,0.000383358
57.94686,0.001604777,-0.000619205,-0.000110832,0.000335045
58.12725,0.001532541,-0.000498734,0.000116651,0.000282213
58.30761,0.001443918,-0.000331837,0.000339669,0.00022581
58.48796,0.001339876,-0.000110463,0.00055939,0.000166888
58.66832,0.001222141,0.000165788,0.000777165,0.00010796
58.8487,0.001093281,0.000489061,0.000994552,5.31E-05
59.02909,0.000956016,0.000850743,0.001213187,6.42E-06
59.20953,0.000813138,0.001239441,0.001434602,-2.76E-05
59.39,0.000667459,0.001637304,0.001659984,-4.44E-05
59.57052,0.000521906,0.002024797,0.001890507,-3.95E-05
59.75108,0.000379223,0.002382575,0.002127371,-8.85E-06
59.93167,0.000240257,0.002697142,0.002371642,4.76E-05
60.1123,0.000105066,0.002957184,0.002624345,0.000128084
60.29295,-2.63E-05,0.003151453,0.002886475,0.000230574
60.4736,-0.00015515,0.003278233,0.003157761,0.000349444
60.65424,-0.000283693,0.003345365,0.003436676,0.000475537
60.83485,-0.000414474,0.003361446,0.003721567,0.000599202
61.01545,-0.00054938,0.003337843,0.004009059,0.000710978
61.19601,-0.000688796,0.003291774,0.004291988,0.000802312
61.37652,-0.000832908,0.003241854,0.004562433,0.000864507
61.55701,-0.000981345,0.003205979,0.00481181,0.000889864
61.73748,-0.00113038,0.003194409,0.005029214,0.000877935
61.91793,-0.001274917,0.003214753,0.005202673,0.000830969
62.09838,-0.001409664,0.003274311,0.005320004,0.000751601
62.27884,-0.001528857,0.003370323,0.005372094,0.000647334
62.45934,-0.001626232,0.003490797,0.005352553,0.000530023
62.63987,-0.001695307,0.003622946,0.005254958,0.000412072
62.82044,-0.001731375,0.003751712,0.005077153,0.000305017
63.00106,-0.001733731,0.003857748,0.004825945,0.000218159
63.18174,-0.00170219,0.003920528,0.004509522,0.00016079
63.36245,-0.001637483,0.003920658,0.004137622,0.000140692
63.54319,-0.001545203,0.003848103,0.003726889,0.000156383
63.72395,-0.001432761,0.003695871,0.00329676,0.00020319
63.90473,-0.001307833,0.003457522,0.002867169,0.000275942
64.08548,-0.001178,0.003138072,0.00245567,0.00036429
64.2662,-0.001050764,0.00275204,0.002077995,0.000453482
64.44689,-0.000933835,0.002314762,0.001750289,0.000528143
64.62753,-0.000832573,0.001844826,0.001483224,0.000574262
64.80812,-0.000747614,0.001366429,0.001276314,0.000580976
64.98865,-0.000679062,0.000905072,0.001127716,0.000537483
65.16911,-0.000626237,0.000485387,0.0010333,0.000434696
65.34954,-0.000584731,0.000125,0.000978063,0.000273263
65.52991,-0.000548898,-0.000160225,0.000943204,5.69E-05
