distance,Right_lat_irreg,right vert irreg,left lat irreg,left vert irreg
31.05318,-2.49E-06,-1.95E-05,-2.93E-05,1.51E-05
31.23368,-1.63E-06,-2.10E-05,-3.07E-05,1.39E-05
31.41418,-7.50E-07,-2.22E-05,-3.14E-05,1.23E-05
31.59467,1.69E-07,-2.30E-05,-3.13E-05,1.05E-05
31.77517,1.19E-06,-2.35E-05,-3.04E-05,8.51E-06
31.95567,2.41E-06,-2.38E-05,-2.88E-05,6.40E-06
32.13617,3.91E-06,-2.37E-05,-2.68E-05,4.22E-06
32.31667,5.77E-06,-2.35E-05,-2.43E-05,2.02E-06
32.49717,8.07E-06,-2.31E-05,-2.16E-05,-1.95E-07
32.67767,1.09E-05,-2.27E-05,-1.89E-05,-2.41E-06
32.85817,1.42E-05,-2.24E-05,-1.61E-05,-4.61E-06
33.03867,1.81E-05,-2.22E-05,-1.34E-05,-6.73E-06
33.21917,2.23E-05,-2.22E-05,-1.09E-05,-8.75E-06
33.39967,2.69E-05,-2.23E-05,-8.59E-06,-1.06E-05
33.58017,3.16E-05,-2.26E-05,-6.39E-06,-1.21E-05
33.76067,3.62E-05,-2.29E-05,-4.28E-06,-1.31E-05
33.94117,4.06E-05,-2.34E-05,-2.21E-06,-1.35E-05
34.12167,4.44E-05,-2.39E-05,-1.20E-07,-1.29E-05
34.30217,4.77E-05,-2.45E-05,2.04E-06,-1.13E-05
34.48267,5.01E-05,-2.53E-05,4.31E-06,-8.36E-06
34.66317,5.15E-05,-2.63E-05,6.74E-06,-4.03E-06
34.84367,5.21E-05,-2.76E-05,9.35E-06,1.65E-06
35.02417,5.18E-05,-2.94E-05,1.21E-05,8.63E-06
35.20467,5.06E-05,-3.17E-05,1.51E-05,1.67E-05
35.38517,4.88E-05,-3.46E-05,1.83E-05,2.56E-05
35.56568,4.65E-05,-3.83E-05,2.18E-05,3.47E-05
35.74618,4.39E-05,-4.26E-05,2.56E-05,4.35E-05
35.92668,4.11E-05,-4.75E-05,2.97E-05,5.15E-05
36.10718,3.82E-05,-5.27E-05,3.43E-05,5.81E-05
36.28768,3.55E-05,-5.81E-05,3.93E-05,6.26E-05
36.46818,3.29E-05,-6.32E-05,4.49E-05,6.47E-05
36.64868,3.04E-05,-6.77E-05,5.10E-05,6.42E-05
36.82918,2.79E-05,-7.11E-05,5.75E-05,6.09E-05
37.00967,2.54E-05,-7.30E-05,6.44E-05,5.50E-05
37.19017,2.28E-05,-7.31E-05,7.14E-05,4.68E-05
37.37066,2.01E-05,-7.11E-05,7.84E-05,3.69E-05
37.55116,1.70E-05,-6.67E-05,8.50E-05,2.60E-05
37.73165,1.36E-05,-5.99E-05,9.10E-05,1.48E-05
37.91214,9.87E-06,-5.08E-05,9.59E-05,4.08E-06
38.09264,5.95E-06,-3.95E-05,9.95E-05,-5.40E-06
38.27313,1.93E-06,-2.62E-05,0.000101575,-1.30E-05
38.45363,-2.01E-06,-1.13E-05,0.000101861,-1.84E-05
38.63412,-5.63E-06,4.89E-06,0.00010024,-2.14E-05
38.81462,-8.72E-06,2.19E-05,9.66E-05,-2.17E-05
38.99512,-1.11E-05,3.96E-05,9.11E-05,-1.97E-05
39.17561,-1.25E-05,5.76E-05,8.38E-05,-1.58E-05
39.35611,-1.27E-05,7.57E-05,7.50E-05,-1.04E-05
39.53661,-1.17E-05,9.37E-05,6.47E-05,-3.98E-06
39.71711,-9.37E-06,0.000111589,5.34E-05,2.79E-06
39.89761,-5.80E-06,0.000129241,4.13E-05,9.32E-06
40.07811,-1.07E-06,0.000146599,2.88E-05,1.52E-05
40.25861,4.62E-06,0.000163583,1.61E-05,2.01E-05
40.43911,1.10E-05,0.000180111,3.54E-06,2.38E-05
40.61961,1.78E-05,0.000196055,-8.56E-06,2.61E-05
40.80011,2.47E-05,0.000211191,-1.99E-05,2.69E-05
40.98062,3.11E-05,0.000225269,-3.01E-05,2.62E-05
41.16112,3.66E-05,0.000238024,-3.88E-05,2.40E-05
41.34163,4.09E-05,0.000249216,-4.56E-05,2.01E-05
41.52213,4.33E-05,0.000258604,-5.03E-05,1.43E-05
41.70264,4.35E-05,0.000265942,-5.25E-05,6.50E-06
41.88314,4.11E-05,0.000271122,-5.19E-05,-3.67E-06
42.06365,3.58E-05,0.000274166,-4.86E-05,-1.65E-05
42.24415,2.74E-05,0.000275115,-4.25E-05,-3.23E-05
42.42466,1.58E-05,0.000274064,-3.38E-05,-5.14E-05
42.60516,1.30E-06,0.000271228,-2.31E-05,-7.36E-05
42.78567,-1.58E-05,0.000266854,-1.10E-05,-9.88E-05
42.96617,-3.50E-05,0.000261191,1.76E-06,-0.000126636
43.14668,-5.55E-05,0.000254373,1.42E-05,-0.000156384
43.32718,-7.65E-05,0.000246506,2.52E-05,-0.000187003
43.50768,-9.69E-05,0.000237698,3.37E-05,-0.000217387
43.68819,-0.000115722,0.00022793,3.90E-05,-0.000246377
43.86869,-0.000132076,0.000217076,4.05E-05,-0.000272756
44.04919,-0.000144953,0.000205,3.77E-05,-0.000295225
44.22969,-0.000153626,0.000191606,3.06E-05,-0.000312779
44.4102,-0.000157943,0.00017689,1.98E-05,-0.000325063
44.5907,-0.000157822,0.000160856,5.99E-06,-0.000331786
